window_index,window_seconds,window_start_timestamp,window_end_timestamp,request_count,inter_arrival_count,gamma,alpha,beta
82,3600.0,7293614.0,7297214.0,101,99,0.21557919210243165,0.21557919210243165,159.30774212715386
83,3600.0,7297214.0,7300814.0,23,22,1.825012057056377,1.825012057056377,83.51127890898246
84,3600.0,7300814.0,7304414.0,2572,2015,0.01793737006481987,0.01793737006481987,98.24644705681986
85,3600.0,7304414.0,7308014.0,1757,1398,0.006796759694056207,0.006796759694056207,376.55745451259526
86,3600.0,7308014.0,7311614.0,648,451,0.013054811963634635,0.013054811963634635,537.5595128256402
87,3600.0,7311614.0,7315214.0,755,519,0.04417690982434937,0.04417690982434937,147.6808768281955
88,3600.0,7315214.0,7318814.0,152,119,0.08967424330148328,0.08967424330148328,322.9241990470002
89,3600.0,7318814.0,7322414.0,7,6,5.37939491709038,5.37939491709038,70.98072166448421
90,3600.0,7322414.0,7326014.0,4,3,0.5686490147433098,0.5686490147433098,732.1446490525755
91,3600.0,7326014.0,7329614.0,112,82,0.03314282519503699,0.03314282519503699,741.8005468447544
92,3600.0,7329614.0,7333214.0,1,0,,,
93,3600.0,7333214.0,7336814.0,1379,853,0.023664802901546423,0.023664802901546423,95.85815074322952
94,3600.0,7336814.0,7340414.0,0,0,,,
95,3600.0,7340414.0,7344014.0,3828,1569,0.24829910919552386,0.24829910919552386,4.828260465173474
96,3600.0,7344014.0,7347614.0,5599,2333,0.0063749996033104625,0.0063749996033104625,241.9841640537356
97,3600.0,7347614.0,7351214.0,3199,1363,0.006310049727513129,0.006310049727513129,393.6935649316013
98,3600.0,7351214.0,7354814.0,7,6,0.6102804979669895,0.6102804979669895,787.3428720083247
99,3600.0,7354814.0,7358414.0,1944,1600,0.017917816208880846,0.017917816208880846,125.4338125695274
100,3600.0,7358414.0,7362014.0,4933,3215,5.9062576377162435,5.9062576377162435,0.18953459078186216
101,3600.0,7362014.0,7365614.0,3843,3310,11.252453937898489,11.252453937898489,0.09662880508096536
102,3600.0,7365614.0,7369214.0,3509,3106,5.693388500991229,5.693388500991229,0.20346461348814252
