window_index,window_seconds,window_start_timestamp,window_end_timestamp,request_count,inter_arrival_count,gamma,alpha,beta
116,1200.0,2775910.0,2777110.0,0,0,,,
117,1200.0,2777110.0,2778310.0,0,0,,,
118,1200.0,2778310.0,2779510.0,0,0,,,
119,1200.0,2779510.0,2780710.0,0,0,,,
120,1200.0,2780710.0,2781910.0,0,0,,,
121,1200.0,2781910.0,2783110.0,0,0,,,
122,1200.0,2783110.0,2784310.0,0,0,,,
123,1200.0,2784310.0,2785510.0,0,0,,,
124,1200.0,2785510.0,2786710.0,0,0,,,
125,1200.0,2786710.0,2787910.0,0,0,,,
126,1200.0,2787910.0,2789110.0,0,0,,,
127,1200.0,2789110.0,2790310.0,0,0,,,
128,1200.0,2790310.0,2791510.0,0,0,,,
129,1200.0,2791510.0,2792710.0,0,0,,,
130,1200.0,2792710.0,2793910.0,0,0,,,
131,1200.0,2793910.0,2795110.0,0,0,,,
132,1200.0,2795110.0,2796310.0,0,0,,,
133,1200.0,2796310.0,2797510.0,0,0,,,
134,1200.0,2797510.0,2798710.0,0,0,,,
135,1200.0,2798710.0,2799910.0,0,0,,,
136,1200.0,2799910.0,2801110.0,0,0,,,
137,1200.0,2801110.0,2802310.0,0,0,,,
138,1200.0,2802310.0,2803510.0,0,0,,,
139,1200.0,2803510.0,2804710.0,52,51,0.7916872835230084,0.7916872835230084,3.962745098039216
140,1200.0,2804710.0,2805910.0,537,476,0.990235663287702,0.990235663287702,2.5416239951740107
141,1200.0,2805910.0,2807110.0,592,515,0.9179459614603525,0.9179459614603525,2.532035590594603
142,1200.0,2807110.0,2808310.0,447,415,0.9844262721660081,0.9844262721660081,2.9348633901745496
143,1200.0,2808310.0,2809510.0,353,336,1.061343595720323,1.061343595720323,3.359398600842679
144,1200.0,2809510.0,2810710.0,251,250,0.9522749990229522,0.9522749990229522,5.036360300250206
145,1200.0,2810710.0,2811910.0,260,259,0.7358727793908543,0.7358727793908543,6.275215970868142
146,1200.0,2811910.0,2813110.0,215,193,0.018398935888663388,0.018398935888663388,337.08865427818284
147,1200.0,2813110.0,2814310.0,92,85,0.7763428235984738,0.7763428235984738,3.48542199488491
148,1200.0,2814310.0,2815510.0,0,0,,,
149,1200.0,2815510.0,2816710.0,104,34,0.06582599686410956,0.06582599686410956,97.40474905558555
150,1200.0,2816710.0,2817910.0,0,0,,,
151,1200.0,2817910.0,2819110.0,0,0,,,
152,1200.0,2819110.0,2820310.0,0,0,,,
153,1200.0,2820310.0,2821510.0,0,0,,,
154,1200.0,2821510.0,2822710.0,0,0,,,
155,1200.0,2822710.0,2823910.0,1,0,,,
